kind,concept_id,style,from,to,occurrences
product,product.crypto-cash_back,literal,Crypto-Cash Back,Curlew Back,97
product,product.dark_green_account,upper_space,DARK GREEN ACCOUNT,DARK ALDER ACCOUNT,4
product,product.dark_green_account,literal,Dark Green Account,Dark Alder Account,38
product,product.dark_green_account,lower_space,dark green account,dark alder account,1
product,product.diamond_elite_account,literal,Diamond Elite Account,Beryl Elite Account,21
product,product.diamond_elite_card,literal,Diamond Elite Card,Beryl Elite Card,64
product,product.diamond_vault,literal,Diamond Vault,Beryl Vault,18
product,product.ecocard,upper_space,ECOCARD,GODWIT,4
product,product.ecocard,literal,EcoCard,Godwit,243
product,product.emerald_saver,literal,Emerald Saver,Quartz Saver,24
product,product.evergreen_account,upper_space,EVERGREEN ACCOUNT,FENNEL ACCOUNT,12
product,product.evergreen_account,literal,Evergreen Account,Fennel Account,75
product,product.evergreen_account,lower_space,evergreen account,fennel account,1
product,product.gold_account,literal,Gold Account,Zircon Account,63
product,product.gold_plus_account,literal,Gold Plus Account,Zircon Plus Account,24
product,product.gold_plus_saver,literal,Gold Plus Saver,Zircon Plus Saver,19
product,product.gold_rewards_card,upper_space,GOLD REWARDS CARD,ZIRCON REWARDS CARD,4
product,product.gold_rewards_card,literal,Gold Rewards Card,Zircon Rewards Card,237
product,product.gold_rewards_card,lower_space,gold rewards card,zircon rewards card,4
product,product.gold_saver_account,literal,Gold Saver Account,Zircon Saver Account,21
product,product.gold_years_account,upper_space,GOLD YEARS ACCOUNT,ZIRCON YEARS ACCOUNT,2
product,product.gold_years_account,literal,Gold Years Account,Zircon Years Account,41
product,product.gold_years_account,lower_space,gold years account,zircon years account,1
product,product.green_account,upper_space,GREEN ACCOUNT,ALDER ACCOUNT,10
product,product.green_account,literal,Green Account,Alder Account,241
product,product.green_account,lower_space,green account,alder account,1
product,product.green_account_(checking),literal,Green Account (checking),Alder Account (checking),28
product,product.green_account_(savings),literal,Green Account (savings),Alder Account (savings),29
product,product.green_fee-free_account,literal,Green Fee-Free Account,Alder Fee-Free Account,86
product,product.green_rewards_card,literal,Green Rewards Card,Alder Rewards Card,46
product,product.green_rewards_card,lower_space,green rewards card,alder rewards card,2
product,product.hunter_green,literal,Hunter Green,Hunter Alder,75
product,product.light_blue_account,upper_space,LIGHT BLUE ACCOUNT,LIGHT LAUREL ACCOUNT,10
product,product.light_blue_account,literal,Light Blue Account,Light Laurel Account,83
product,product.light_blue_account,lower_space,light blue account,light laurel account,1
product,product.light_green_account,upper_space,LIGHT GREEN ACCOUNT,LIGHT ALDER ACCOUNT,8
product,product.light_green_account,literal,Light Green Account,Light Alder Account,74
product,product.lime_green,literal,Lime Green,Lime Alder,45
product,product.navy_blue,literal,Navy Blue,Navy Laurel,66
product,product.platinum_account,literal,Platinum Account,Basalt Account,25
product,product.platinum_plus_account,literal,Platinum Plus Account,Basalt Plus Account,20
product,product.platinum_reserve_account,literal,Platinum Reserve Account,Basalt Reserve Account,16
product,product.platinum_rewards_card,literal,Platinum Rewards Card,Basalt Rewards Card,179
product,product.purple_account,upper_space,PURPLE ACCOUNT,MAPLE ACCOUNT,6
product,product.purple_account,literal,Purple Account,Maple Account,56
product,product.purple_account,lower_space,purple account,maple account,1
product,product.rho_bank_plus,literal,Rho Bank Plus,Kestrel Union Plus,3
product,product.silver_account,literal,Silver Account,Granite Account,74
product,product.silver_plus_account,literal,Silver Plus Account,Granite Plus Account,48
product,product.silver_plus_saver,literal,Silver Plus Saver,Granite Plus Saver,35
product,product.silver_rewards_card,literal,Silver Rewards Card,Granite Rewards Card,164
product,product.silver_saver_account,literal,Silver Saver Account,Granite Saver Account,12
product,product.silver_zoom_card,literal,Silver Zoom Card,Granite Fieldfare Card,40
product,product.sky_blue,literal,Sky Blue,Sky Laurel,91
product,product.true_blue,literal,True Blue,True Laurel,32
product,product.world_blue,literal,World Blue,World Laurel,71
document,document.doc_business_checking_accounts_beige_001,literal,doc_business_checking_accounts_beige_001,doc_business_checking_accounts_bracken_001,7
document,document.doc_business_checking_accounts_beige_002,literal,doc_business_checking_accounts_beige_002,doc_business_checking_accounts_bracken_002,1
document,document.doc_business_checking_accounts_beige_003,literal,doc_business_checking_accounts_beige_003,doc_business_checking_accounts_bracken_003,1
document,document.doc_business_checking_accounts_beige_004,literal,doc_business_checking_accounts_beige_004,doc_business_checking_accounts_bracken_004,1
document,document.doc_business_checking_accounts_beige_005,literal,doc_business_checking_accounts_beige_005,doc_business_checking_accounts_bracken_005,1
document,document.doc_business_checking_accounts_beige_006,literal,doc_business_checking_accounts_beige_006,doc_business_checking_accounts_bracken_006,1
document,document.doc_business_checking_accounts_beige_007,literal,doc_business_checking_accounts_beige_007,doc_business_checking_accounts_bracken_007,1
document,document.doc_business_checking_accounts_beige_008,literal,doc_business_checking_accounts_beige_008,doc_business_checking_accounts_bracken_008,1
document,document.doc_business_checking_accounts_beige_009,literal,doc_business_checking_accounts_beige_009,doc_business_checking_accounts_bracken_009,1
document,document.doc_business_checking_accounts_beige_010,literal,doc_business_checking_accounts_beige_010,doc_business_checking_accounts_bracken_010,1
document,document.doc_business_checking_accounts_beige_011,literal,doc_business_checking_accounts_beige_011,doc_business_checking_accounts_bracken_011,1
document,document.doc_business_checking_accounts_beige_012,literal,doc_business_checking_accounts_beige_012,doc_business_checking_accounts_bracken_012,5
document,document.doc_business_checking_accounts_cobalt_blue_001,literal,doc_business_checking_accounts_cobalt_blue_001,doc_business_checking_accounts_cobalt_laurel_001,15
document,document.doc_business_checking_accounts_cobalt_blue_002,literal,doc_business_checking_accounts_cobalt_blue_002,doc_business_checking_accounts_cobalt_laurel_002,3
document,document.doc_business_checking_accounts_cobalt_blue_003,literal,doc_business_checking_accounts_cobalt_blue_003,doc_business_checking_accounts_cobalt_laurel_003,1
document,document.doc_business_checking_accounts_cobalt_blue_004,literal,doc_business_checking_accounts_cobalt_blue_004,doc_business_checking_accounts_cobalt_laurel_004,3
document,document.doc_business_checking_accounts_cobalt_blue_005,literal,doc_business_checking_accounts_cobalt_blue_005,doc_business_checking_accounts_cobalt_laurel_005,7
document,document.doc_business_checking_accounts_cobalt_blue_006,literal,doc_business_checking_accounts_cobalt_blue_006,doc_business_checking_accounts_cobalt_laurel_006,3
document,document.doc_business_checking_accounts_cobalt_blue_007,literal,doc_business_checking_accounts_cobalt_blue_007,doc_business_checking_accounts_cobalt_laurel_007,1
document,document.doc_business_checking_accounts_cobalt_blue_008,literal,doc_business_checking_accounts_cobalt_blue_008,doc_business_checking_accounts_cobalt_laurel_008,1
document,document.doc_business_checking_accounts_cobalt_blue_009,literal,doc_business_checking_accounts_cobalt_blue_009,doc_business_checking_accounts_cobalt_laurel_009,1
document,document.doc_business_checking_accounts_cobalt_blue_010,literal,doc_business_checking_accounts_cobalt_blue_010,doc_business_checking_accounts_cobalt_laurel_010,1
document,document.doc_business_checking_accounts_hunter_green_001,literal,doc_business_checking_accounts_hunter_green_001,doc_business_checking_accounts_hunter_alder_001,15
document,document.doc_business_checking_accounts_hunter_green_002,literal,doc_business_checking_accounts_hunter_green_002,doc_business_checking_accounts_hunter_alder_002,1
document,document.doc_business_checking_accounts_hunter_green_003,literal,doc_business_checking_accounts_hunter_green_003,doc_business_checking_accounts_hunter_alder_003,1
document,document.doc_business_checking_accounts_hunter_green_004,literal,doc_business_checking_accounts_hunter_green_004,doc_business_checking_accounts_hunter_alder_004,1
document,document.doc_business_checking_accounts_hunter_green_005,literal,doc_business_checking_accounts_hunter_green_005,doc_business_checking_accounts_hunter_alder_005,1
document,document.doc_business_checking_accounts_hunter_green_006,literal,doc_business_checking_accounts_hunter_green_006,doc_business_checking_accounts_hunter_alder_006,1
document,document.doc_business_checking_accounts_hunter_green_007,literal,doc_business_checking_accounts_hunter_green_007,doc_business_checking_accounts_hunter_alder_007,1
document,document.doc_business_checking_accounts_hunter_green_008,literal,doc_business_checking_accounts_hunter_green_008,doc_business_checking_accounts_hunter_alder_008,1
document,document.doc_business_checking_accounts_hunter_green_009,literal,doc_business_checking_accounts_hunter_green_009,doc_business_checking_accounts_hunter_alder_009,1
document,document.doc_business_checking_accounts_hunter_green_010,literal,doc_business_checking_accounts_hunter_green_010,doc_business_checking_accounts_hunter_alder_010,9
document,document.doc_business_checking_accounts_lime_green_001,literal,doc_business_checking_accounts_lime_green_001,doc_business_checking_accounts_lime_alder_001,11
document,document.doc_business_checking_accounts_lime_green_002,literal,doc_business_checking_accounts_lime_green_002,doc_business_checking_accounts_lime_alder_002,1
document,document.doc_business_checking_accounts_lime_green_003,literal,doc_business_checking_accounts_lime_green_003,doc_business_checking_accounts_lime_alder_003,9
document,document.doc_business_checking_accounts_lime_green_004,literal,doc_business_checking_accounts_lime_green_004,doc_business_checking_accounts_lime_alder_004,1
document,document.doc_business_checking_accounts_lime_green_005,literal,doc_business_checking_accounts_lime_green_005,doc_business_checking_accounts_lime_alder_005,1
document,document.doc_business_checking_accounts_lime_green_006,literal,doc_business_checking_accounts_lime_green_006,doc_business_checking_accounts_lime_alder_006,1
document,document.doc_business_checking_accounts_lime_green_007,literal,doc_business_checking_accounts_lime_green_007,doc_business_checking_accounts_lime_alder_007,5
document,document.doc_business_checking_accounts_lime_green_008,literal,doc_business_checking_accounts_lime_green_008,doc_business_checking_accounts_lime_alder_008,1
document,document.doc_business_checking_accounts_navy_blue_001,literal,doc_business_checking_accounts_navy_blue_001,doc_business_checking_accounts_navy_laurel_001,11
document,document.doc_business_checking_accounts_navy_blue_002,literal,doc_business_checking_accounts_navy_blue_002,doc_business_checking_accounts_navy_laurel_002,1
document,document.doc_business_checking_accounts_navy_blue_003,literal,doc_business_checking_accounts_navy_blue_003,doc_business_checking_accounts_navy_laurel_003,1
document,document.doc_business_checking_accounts_navy_blue_004,literal,doc_business_checking_accounts_navy_blue_004,doc_business_checking_accounts_navy_laurel_004,1
document,document.doc_business_checking_accounts_navy_blue_005,literal,doc_business_checking_accounts_navy_blue_005,doc_business_checking_accounts_navy_laurel_005,1
document,document.doc_business_checking_accounts_navy_blue_006,literal,doc_business_checking_accounts_navy_blue_006,doc_business_checking_accounts_navy_laurel_006,1
document,document.doc_business_checking_accounts_navy_blue_007,literal,doc_business_checking_accounts_navy_blue_007,doc_business_checking_accounts_navy_laurel_007,1
document,document.doc_business_checking_accounts_navy_blue_008,literal,doc_business_checking_accounts_navy_blue_008,doc_business_checking_accounts_navy_laurel_008,1
document,document.doc_business_checking_accounts_navy_blue_009,literal,doc_business_checking_accounts_navy_blue_009,doc_business_checking_accounts_navy_laurel_009,1
document,document.doc_business_checking_accounts_sky_blue_001,literal,doc_business_checking_accounts_sky_blue_001,doc_business_checking_accounts_sky_laurel_001,15
document,document.doc_business_checking_accounts_sky_blue_002,literal,doc_business_checking_accounts_sky_blue_002,doc_business_checking_accounts_sky_laurel_002,5
document,document.doc_business_checking_accounts_sky_blue_003,literal,doc_business_checking_accounts_sky_blue_003,doc_business_checking_accounts_sky_laurel_003,1
document,document.doc_business_checking_accounts_sky_blue_004,literal,doc_business_checking_accounts_sky_blue_004,doc_business_checking_accounts_sky_laurel_004,1
document,document.doc_business_checking_accounts_sky_blue_005,literal,doc_business_checking_accounts_sky_blue_005,doc_business_checking_accounts_sky_laurel_005,1
document,document.doc_business_checking_accounts_sky_blue_006,literal,doc_business_checking_accounts_sky_blue_006,doc_business_checking_accounts_sky_laurel_006,1
document,document.doc_business_checking_accounts_sky_blue_007,literal,doc_business_checking_accounts_sky_blue_007,doc_business_checking_accounts_sky_laurel_007,5
document,document.doc_business_checking_accounts_sky_blue_008,literal,doc_business_checking_accounts_sky_blue_008,doc_business_checking_accounts_sky_laurel_008,1
document,document.doc_business_checking_accounts_sky_blue_009,literal,doc_business_checking_accounts_sky_blue_009,doc_business_checking_accounts_sky_laurel_009,1
document,document.doc_business_checking_accounts_sky_blue_010,literal,doc_business_checking_accounts_sky_blue_010,doc_business_checking_accounts_sky_laurel_010,9
document,document.doc_business_checking_accounts_true_blue_001,literal,doc_business_checking_accounts_true_blue_001,doc_business_checking_accounts_true_laurel_001,7
document,document.doc_business_checking_accounts_true_blue_002,literal,doc_business_checking_accounts_true_blue_002,doc_business_checking_accounts_true_laurel_002,5
document,document.doc_business_checking_accounts_true_blue_003,literal,doc_business_checking_accounts_true_blue_003,doc_business_checking_accounts_true_laurel_003,1
document,document.doc_business_checking_accounts_true_blue_004,literal,doc_business_checking_accounts_true_blue_004,doc_business_checking_accounts_true_laurel_004,1
document,document.doc_business_checking_accounts_true_blue_005,literal,doc_business_checking_accounts_true_blue_005,doc_business_checking_accounts_true_laurel_005,1
document,document.doc_business_checking_accounts_true_blue_006,literal,doc_business_checking_accounts_true_blue_006,doc_business_checking_accounts_true_laurel_006,1
document,document.doc_business_checking_accounts_true_blue_007,literal,doc_business_checking_accounts_true_blue_007,doc_business_checking_accounts_true_laurel_007,1
document,document.doc_business_checking_accounts_true_blue_008,literal,doc_business_checking_accounts_true_blue_008,doc_business_checking_accounts_true_laurel_008,1
document,document.doc_business_checking_accounts_true_blue_009,literal,doc_business_checking_accounts_true_blue_009,doc_business_checking_accounts_true_laurel_009,1
document,document.doc_business_checking_accounts_true_blue_010,literal,doc_business_checking_accounts_true_blue_010,doc_business_checking_accounts_true_laurel_010,1
document,document.doc_business_checking_accounts_true_blue_011,literal,doc_business_checking_accounts_true_blue_011,doc_business_checking_accounts_true_laurel_011,1
document,document.doc_business_checking_accounts_world_blue_001,literal,doc_business_checking_accounts_world_blue_001,doc_business_checking_accounts_world_laurel_001,11
document,document.doc_business_checking_accounts_world_blue_002,literal,doc_business_checking_accounts_world_blue_002,doc_business_checking_accounts_world_laurel_002,1
document,document.doc_business_checking_accounts_world_blue_003,literal,doc_business_checking_accounts_world_blue_003,doc_business_checking_accounts_world_laurel_003,1
document,document.doc_business_checking_accounts_world_blue_004,literal,doc_business_checking_accounts_world_blue_004,doc_business_checking_accounts_world_laurel_004,1
document,document.doc_business_checking_accounts_world_blue_005,literal,doc_business_checking_accounts_world_blue_005,doc_business_checking_accounts_world_laurel_005,1
document,document.doc_business_checking_accounts_world_blue_006,literal,doc_business_checking_accounts_world_blue_006,doc_business_checking_accounts_world_laurel_006,1
document,document.doc_business_checking_accounts_world_blue_007,literal,doc_business_checking_accounts_world_blue_007,doc_business_checking_accounts_world_laurel_007,5
document,document.doc_business_checking_accounts_world_blue_008,literal,doc_business_checking_accounts_world_blue_008,doc_business_checking_accounts_world_laurel_008,1
document,document.doc_business_checking_accounts_world_blue_009,literal,doc_business_checking_accounts_world_blue_009,doc_business_checking_accounts_world_laurel_009,1
document,document.doc_business_credit_cards_business_bronze_rewards_card_001,literal,doc_business_credit_cards_business_bronze_rewards_card_001,doc_business_credit_cards_business_slate_rewards_card_001,7
document,document.doc_business_credit_cards_business_bronze_rewards_card_002,literal,doc_business_credit_cards_business_bronze_rewards_card_002,doc_business_credit_cards_business_slate_rewards_card_002,7
document,document.doc_business_credit_cards_business_bronze_rewards_card_003,literal,doc_business_credit_cards_business_bronze_rewards_card_003,doc_business_credit_cards_business_slate_rewards_card_003,3
document,document.doc_business_credit_cards_business_bronze_rewards_card_004,literal,doc_business_credit_cards_business_bronze_rewards_card_004,doc_business_credit_cards_business_slate_rewards_card_004,1
document,document.doc_business_credit_cards_business_bronze_rewards_card_005,literal,doc_business_credit_cards_business_bronze_rewards_card_005,doc_business_credit_cards_business_slate_rewards_card_005,1
document,document.doc_business_credit_cards_business_bronze_rewards_card_006,literal,doc_business_credit_cards_business_bronze_rewards_card_006,doc_business_credit_cards_business_slate_rewards_card_006,1
document,document.doc_business_credit_cards_business_bronze_rewards_card_007,literal,doc_business_credit_cards_business_bronze_rewards_card_007,doc_business_credit_cards_business_slate_rewards_card_007,1
document,document.doc_business_credit_cards_business_bronze_rewards_card_008,literal,doc_business_credit_cards_business_bronze_rewards_card_008,doc_business_credit_cards_business_slate_rewards_card_008,1
document,document.doc_business_credit_cards_business_bronze_rewards_card_009,literal,doc_business_credit_cards_business_bronze_rewards_card_009,doc_business_credit_cards_business_slate_rewards_card_009,1
document,document.doc_business_credit_cards_business_bronze_rewards_card_010,literal,doc_business_credit_cards_business_bronze_rewards_card_010,doc_business_credit_cards_business_slate_rewards_card_010,5
document,document.doc_business_credit_cards_business_bronze_rewards_card_011,literal,doc_business_credit_cards_business_bronze_rewards_card_011,doc_business_credit_cards_business_slate_rewards_card_011,1
document,document.doc_business_credit_cards_business_gold_rewards_card_001,literal,doc_business_credit_cards_business_gold_rewards_card_001,doc_business_credit_cards_business_zircon_rewards_card_001,1
document,document.doc_business_credit_cards_business_gold_rewards_card_002,literal,doc_business_credit_cards_business_gold_rewards_card_002,doc_business_credit_cards_business_zircon_rewards_card_002,1
document,document.doc_business_credit_cards_business_gold_rewards_card_003,literal,doc_business_credit_cards_business_gold_rewards_card_003,doc_business_credit_cards_business_zircon_rewards_card_003,1
document,document.doc_business_credit_cards_business_gold_rewards_card_004,literal,doc_business_credit_cards_business_gold_rewards_card_004,doc_business_credit_cards_business_zircon_rewards_card_004,1
document,document.doc_business_credit_cards_business_gold_rewards_card_005,literal,doc_business_credit_cards_business_gold_rewards_card_005,doc_business_credit_cards_business_zircon_rewards_card_005,1
document,document.doc_business_credit_cards_business_gold_rewards_card_006,literal,doc_business_credit_cards_business_gold_rewards_card_006,doc_business_credit_cards_business_zircon_rewards_card_006,1
document,document.doc_business_credit_cards_business_gold_rewards_card_007,literal,doc_business_credit_cards_business_gold_rewards_card_007,doc_business_credit_cards_business_zircon_rewards_card_007,1
document,document.doc_business_credit_cards_business_gold_rewards_card_008,literal,doc_business_credit_cards_business_gold_rewards_card_008,doc_business_credit_cards_business_zircon_rewards_card_008,1
document,document.doc_business_credit_cards_business_gold_rewards_card_009,literal,doc_business_credit_cards_business_gold_rewards_card_009,doc_business_credit_cards_business_zircon_rewards_card_009,1
document,document.doc_business_credit_cards_business_gold_rewards_card_010,literal,doc_business_credit_cards_business_gold_rewards_card_010,doc_business_credit_cards_business_zircon_rewards_card_010,3
document,document.doc_business_credit_cards_business_platinum_rewards_card_001,literal,doc_business_credit_cards_business_platinum_rewards_card_001,doc_business_credit_cards_business_basalt_rewards_card_001,15
document,document.doc_business_credit_cards_business_platinum_rewards_card_002,literal,doc_business_credit_cards_business_platinum_rewards_card_002,doc_business_credit_cards_business_basalt_rewards_card_002,15
document,document.doc_business_credit_cards_business_platinum_rewards_card_003,literal,doc_business_credit_cards_business_platinum_rewards_card_003,doc_business_credit_cards_business_basalt_rewards_card_003,1
document,document.doc_business_credit_cards_business_platinum_rewards_card_004,literal,doc_business_credit_cards_business_platinum_rewards_card_004,doc_business_credit_cards_business_basalt_rewards_card_004,1
document,document.doc_business_credit_cards_business_platinum_rewards_card_005,literal,doc_business_credit_cards_business_platinum_rewards_card_005,doc_business_credit_cards_business_basalt_rewards_card_005,1
document,document.doc_business_credit_cards_business_platinum_rewards_card_006,literal,doc_business_credit_cards_business_platinum_rewards_card_006,doc_business_credit_cards_business_basalt_rewards_card_006,1
document,document.doc_business_credit_cards_business_platinum_rewards_card_007,literal,doc_business_credit_cards_business_platinum_rewards_card_007,doc_business_credit_cards_business_basalt_rewards_card_007,1
document,document.doc_business_credit_cards_business_platinum_rewards_card_008,literal,doc_business_credit_cards_business_platinum_rewards_card_008,doc_business_credit_cards_business_basalt_rewards_card_008,7
document,document.doc_business_credit_cards_business_platinum_rewards_card_009,literal,doc_business_credit_cards_business_platinum_rewards_card_009,doc_business_credit_cards_business_basalt_rewards_card_009,1
document,document.doc_business_credit_cards_business_platinum_rewards_card_010,literal,doc_business_credit_cards_business_platinum_rewards_card_010,doc_business_credit_cards_business_basalt_rewards_card_010,1
document,document.doc_business_credit_cards_business_platinum_rewards_card_011,literal,doc_business_credit_cards_business_platinum_rewards_card_011,doc_business_credit_cards_business_basalt_rewards_card_011,5
document,document.doc_business_credit_cards_business_platinum_rewards_card_012,literal,doc_business_credit_cards_business_platinum_rewards_card_012,doc_business_credit_cards_business_basalt_rewards_card_012,1
document,document.doc_business_credit_cards_business_silver_rewards_card_001,literal,doc_business_credit_cards_business_silver_rewards_card_001,doc_business_credit_cards_business_granite_rewards_card_001,13
document,document.doc_business_credit_cards_business_silver_rewards_card_002,literal,doc_business_credit_cards_business_silver_rewards_card_002,doc_business_credit_cards_business_granite_rewards_card_002,13
document,document.doc_business_credit_cards_business_silver_rewards_card_003,literal,doc_business_credit_cards_business_silver_rewards_card_003,doc_business_credit_cards_business_granite_rewards_card_003,1
document,document.doc_business_credit_cards_business_silver_rewards_card_004,literal,doc_business_credit_cards_business_silver_rewards_card_004,doc_business_credit_cards_business_granite_rewards_card_004,1
document,document.doc_business_credit_cards_business_silver_rewards_card_005,literal,doc_business_credit_cards_business_silver_rewards_card_005,doc_business_credit_cards_business_granite_rewards_card_005,10
document,document.doc_business_credit_cards_business_silver_rewards_card_006,literal,doc_business_credit_cards_business_silver_rewards_card_006,doc_business_credit_cards_business_granite_rewards_card_006,1
document,document.doc_business_credit_cards_business_silver_rewards_card_007,literal,doc_business_credit_cards_business_silver_rewards_card_007,doc_business_credit_cards_business_granite_rewards_card_007,1
document,document.doc_business_credit_cards_business_silver_rewards_card_008,literal,doc_business_credit_cards_business_silver_rewards_card_008,doc_business_credit_cards_business_granite_rewards_card_008,1
document,document.doc_business_credit_cards_business_silver_rewards_card_009,literal,doc_business_credit_cards_business_silver_rewards_card_009,doc_business_credit_cards_business_granite_rewards_card_009,1
document,document.doc_business_credit_cards_business_silver_rewards_card_010,literal,doc_business_credit_cards_business_silver_rewards_card_010,doc_business_credit_cards_business_granite_rewards_card_010,1
document,document.doc_business_credit_cards_business_silver_rewards_card_011,literal,doc_business_credit_cards_business_silver_rewards_card_011,doc_business_credit_cards_business_granite_rewards_card_011,1
document,document.doc_business_credit_cards_business_silver_rewards_card_012,literal,doc_business_credit_cards_business_silver_rewards_card_012,doc_business_credit_cards_business_granite_rewards_card_012,8
document,document.doc_business_credit_cards_business_silver_rewards_card_013,literal,doc_business_credit_cards_business_silver_rewards_card_013,doc_business_credit_cards_business_granite_rewards_card_013,1
document,document.doc_business_credit_cards_green_rewards_card_001,literal,doc_business_credit_cards_green_rewards_card_001,doc_business_credit_cards_alder_rewards_card_001,1
document,document.doc_business_credit_cards_green_rewards_card_002,literal,doc_business_credit_cards_green_rewards_card_002,doc_business_credit_cards_alder_rewards_card_002,1
document,document.doc_business_credit_cards_green_rewards_card_003,literal,doc_business_credit_cards_green_rewards_card_003,doc_business_credit_cards_alder_rewards_card_003,1
document,document.doc_business_credit_cards_green_rewards_card_004,literal,doc_business_credit_cards_green_rewards_card_004,doc_business_credit_cards_alder_rewards_card_004,1
document,document.doc_business_credit_cards_green_rewards_card_005,literal,doc_business_credit_cards_green_rewards_card_005,doc_business_credit_cards_alder_rewards_card_005,1
document,document.doc_business_credit_cards_green_rewards_card_006,literal,doc_business_credit_cards_green_rewards_card_006,doc_business_credit_cards_alder_rewards_card_006,1
document,document.doc_business_credit_cards_green_rewards_card_007,literal,doc_business_credit_cards_green_rewards_card_007,doc_business_credit_cards_alder_rewards_card_007,1
document,document.doc_business_credit_cards_green_rewards_card_008,literal,doc_business_credit_cards_green_rewards_card_008,doc_business_credit_cards_alder_rewards_card_008,1
document,document.doc_business_credit_cards_green_rewards_card_009,literal,doc_business_credit_cards_green_rewards_card_009,doc_business_credit_cards_alder_rewards_card_009,1
document,document.doc_business_credit_cards_green_rewards_card_010,literal,doc_business_credit_cards_green_rewards_card_010,doc_business_credit_cards_alder_rewards_card_010,1
document,document.doc_business_credit_cards_silver_zoom_card_001,literal,doc_business_credit_cards_silver_zoom_card_001,doc_business_credit_cards_granite_fieldfare_card_001,1
document,document.doc_business_credit_cards_silver_zoom_card_002,literal,doc_business_credit_cards_silver_zoom_card_002,doc_business_credit_cards_granite_fieldfare_card_002,1
document,document.doc_business_credit_cards_silver_zoom_card_003,literal,doc_business_credit_cards_silver_zoom_card_003,doc_business_credit_cards_granite_fieldfare_card_003,1
document,document.doc_business_credit_cards_silver_zoom_card_004,literal,doc_business_credit_cards_silver_zoom_card_004,doc_business_credit_cards_granite_fieldfare_card_004,1
document,document.doc_business_credit_cards_silver_zoom_card_005,literal,doc_business_credit_cards_silver_zoom_card_005,doc_business_credit_cards_granite_fieldfare_card_005,1
document,document.doc_business_credit_cards_silver_zoom_card_006,literal,doc_business_credit_cards_silver_zoom_card_006,doc_business_credit_cards_granite_fieldfare_card_006,1
document,document.doc_business_credit_cards_silver_zoom_card_007,literal,doc_business_credit_cards_silver_zoom_card_007,doc_business_credit_cards_granite_fieldfare_card_007,1
document,document.doc_business_credit_cards_silver_zoom_card_008,literal,doc_business_credit_cards_silver_zoom_card_008,doc_business_credit_cards_granite_fieldfare_card_008,1
document,document.doc_business_credit_cards_silver_zoom_card_009,literal,doc_business_credit_cards_silver_zoom_card_009,doc_business_credit_cards_granite_fieldfare_card_009,1
document,document.doc_business_credit_cards_silver_zoom_card_010,literal,doc_business_credit_cards_silver_zoom_card_010,doc_business_credit_cards_granite_fieldfare_card_010,1
document,document.doc_business_credit_cards_silver_zoom_card_011,literal,doc_business_credit_cards_silver_zoom_card_011,doc_business_credit_cards_granite_fieldfare_card_011,3
document,document.doc_business_credit_cards_silver_zoom_card_012,literal,doc_business_credit_cards_silver_zoom_card_012,doc_business_credit_cards_granite_fieldfare_card_012,1
document,document.doc_business_credit_cards_silver_zoom_card_013,literal,doc_business_credit_cards_silver_zoom_card_013,doc_business_credit_cards_granite_fieldfare_card_013,1
